	sexo	fami	horas	act_internet	act_tecnologia	uso_compra	uso_trans
1	Hombre	7	15	4	4	Si	Si
2	Hombre	2	15	5	6	Si	No
3	Hombre	5	10	4	6	Si	Si
4	Mujer	3	8	3	7	Si	Si
5	Mujer	3	9	3	3	Si	Si
6	Mujer	4	8	3	4	No	No
7	Hombre	5	13	5	6	Si	No
8	Hombre	4	10	3	6	No	Si
9	Mujer	3	10	7	1	Si	Si
10	Hombre	1	10	5	5	Si	Si
11	Hombre	2	16	6	5	Si	Si
12	Hombre	2	20	6	7	Si	No
13	Hombre	6	13	2	6	Si	Si
14	Hombre	1	16	1	7	Si	No
15	Hombre	4	17	6	7	Si	Si
16	Hombre	5	17	3	2	Si	Si
17	Hombre	4	19	5	6	No	No
18	Hombre	5	20	6	7	Si	Si
19	Hombre	3	13	4	6	No	Si
20	Hombre	6	12	2	5	Si	No
21	Hombre	6	12	4	7	Si	Si
22	Hombre	3	17	5	6	No	Si
23	Mujer	1	9	2	3	Si	No
24	Hombre	6	20	5	6	Si	Si
25	Hombre	5	21	5	7	Si	Si
26	Hombre	4	18	4	5	No	Si
27	Mujer	4	7	3	3	Si	Si
28	Mujer	1	9	4	7	No	No
29	Mujer	1	10	1	3	Si	Si
30	Hombre	3	12	4	5	Si	Si
31	Mujer	4	8	5	6	No	Si
32	Hombre	3	15	4	4	Si	Si
33	Mujer	5	8	6	7	Si	No
34	Mujer	4	8	3	3	No	Si
35	Mujer	4	8	2	4	No	No
36	Hombre	5	13	4	7	Si	Si
37	Hombre	4	17	6	4	Si	Si
38	Mujer	2	8	3	6	No	No
39	Hombre	4	16	5	7	Si	Si
40	Mujer	3	7	4	6	Si	No
41	Hombre	4	21	5	7	Si	No
42	Hombre	4	16	5	6	No	Si
43	Hombre	5	18	7	5	No	Si
44	Hombre	4	10	4	7	Si	Si
45	Hombre	2	11	5	6	No	Si
46	Hombre	5	18	2	5	No	No
47	Hombre	5	18	3	6	No	Si
48	Mujer	5	9	6	4	Si	No
49	Hombre	2	13	5	6	No	Si
50	Hombre	4	13	5	4	Si	No
51	Hombre	5	21	5	4	No	Si
52	Mujer	6	9	3	4	No	No
53	Hombre	1	15	5	3	Si	Si
54	Hombre	4	14	6	7	No	Si
55	Mujer	6	8	3	7	Si	Si
56	Mujer	4	8	7	7	Si	Si
57	Mujer	5	9	5	4	No	No
58	Mujer	1	8	3	4	No	No
59	Hombre	4	10	7	4	Si	Si
60	Hombre	5	9	5	7	No	No
61	Mujer	5	9	3	4	No	Si
62	Hombre	5	12	4	4	No	Si
63	Hombre	3	15	3	4	No	Si
64	Hombre	4	18	4	5	No	Si
65	Hombre	2	17	6	7	Si	No
66	Mujer	3	8	3	4	No	Si
67	Hombre	4	14	6	4	Si	Si
68	Hombre	6	14	2	3	Si	Si
69	Mujer	4	7	1	3	Si	Si
70	Mujer	5	9	5	4	Si	No
71	Hombre	4	16	4	6	Si	No
72	Mujer	2	9	2	3	No	No
73	Mujer	6	9	4	5	Si	Si
74	Hombre	3	16	5	6	Si	Si
75	Hombre	5	11	5	4	Si	Si
76	Mujer	5	8	2	1	Si	No
77	Hombre	3	21	3	7	Si	Si
78	Hombre	3	15	3	4	Si	Si
79	Mujer	4	9	3	7	No	No
80	Mujer	4	9	3	3	Si	Si
81	Mujer	7	9	2	3	No	Si
82	Mujer	3	9	6	5	Si	No
83	Mujer	1	9	5	7	No	No
84	Hombre	3	12	4	5	No	Si
85	Hombre	2	13	5	6	Si	Si
86	Mujer	6	8	5	3	No	No
87	Hombre	7	22	4	7	Si	Si
88	Hombre	3	17	5	6	Si	Si
89	Hombre	4	10	4	6	Si	Si
90	Mujer	4	9	4	3	Si	Si
91	Mujer	6	8	4	2	No	Si
